wordform,occurence
кумааҕыта,1
кумааҕытын,3
кумааҕытыттан,1
кумак,5
кумалаан,2
кумалак,2
кумаламмыт,4
кумаланар,1
кумар,2
кумаров,2
кумах,65
кумахтаах,6
кумахтан,1
кумахтара,1
кумахтары,1
кумахха,5
кумач,1
кумаҕа,1
кумаҕы,5
кумаҕын,2
кумаҕынан,3
кумеков,1
кумир,2
кумирдарын,1
кумиры,1
кумит,1
кумо,2
кумоси,2
кумохи,2
кумуйан,1
кумунан,2
кумутун,4
кумуччу,5
кумчевы,1
кумыз,1
кумык,2
кумысное,1
кун,12
куна,2
кунабарабран,1
куналар,1
кунан,7
кунанбаай,1
кунаттардыы,4
кунг,2
кунду,1
кундур,1
кундээдэ,1
кунжут,1
куницкая,1
куннэ,1
куннэригэр,1
куннэрэ,1
кунугэр,4
кунус,1
кунуска,2
куньминь,2
кунэ,1
кунүгэр,1
куо,43
куобах,72
куобахсыт,1
куобахтаан,4
куобахтаатын,2
куобахтаах,1
куобахтааһын,2
куобахтанан,4
куобахтар,2
куобахтары,1
куобахтарын,2
куобахтарыҥ,1
куобахтыҥылар,8
куобахха,5
куобахчыт,3
куобаҕа,2
куобаҕы,6
куобаҕын,3
куобаҕынан,1
куогалы,2
куод,1
куода,29
куодалаах,1
куодарыһан,4
куодарыһар,3
куодарыһыыларын,4
куодаһыннаах,1
куодтара,3
куодтуур,1
куоду,1
куодумалар,6
куодунан,1
куойаларыгар,4
куойан,5
куойар,1
куойатыгар,2
куойка,27
куойкалаах,9
куойкалар,6
куойкалара,1
куойкалары,3
куойкаларын,2
куойканы,2
куойкатыгар,1
куойкаҕа,1
куокуй,5
куокуну,2
куокунутуттан,1
куокурсугар,1
куокурус,1
куокуруһугар,1
куола,1
куолаан,2
куолай,1
куолайа,1
куолайга,1
куолайдаах,3
куолайдара,1
куолайыгар,3
куолайынан,2
куолара,1
куоларга,1
куолары,1
куоларын,1
куолас,9
куоласкын,1
куоласпын,1
куоластаа,2
куоластаабыт,11
куоластаабыта,3
куоластаабыттар,1
куоластаабыттара,1
куоластаан,1
куоластаары,1
куоластаата,14
куоластаатылар,2
куоластаах,19
куоластаахтар,1
куоластааххыт,1
куоластааччы,17
куоластааччылар,11
куоластааччыларын,1
куоластааҕа,1
куоластааһын,129
куоластааһына,45
куоластааһыннарын,2
куоластааһыннарынан,1
куоластааһыны,8
куоластааһыныгар,5
куоластааһынын,10
куоластааһынынан,1
куоластааһыҥҥа,30
куоластар,1
куоластара,4
куоластарга,1
куоластары,2
куоластарыгар,1
куоластарын,2
куоластарынан,2
куоластаһыҥҥа,1
куоластыам,1
куоластыан,3
куоластыахтарын,6
куоластыахха,2
куоластыаҕым,1
куоластыаҕыҥ,1
куоластыыбытый,1
куоластыыллара,1
куоластыын,2
куоластыыр,87
куоластыырга,4
куоласчаан,1
куолаһа,14
куолаһы,14
куолаһыгар,3
куолаһын,13
куолаһынан,21
куолаһыттан,2
куоллараан,1
куолларааннар,4
куоллараанын,2
куолларай,1
куоллаҕай,2
куолу,5
куолулаа,1
куолулаабыттара,2
куолуларынан,2
куолулуур,1
куолуну,1
куолус,1
куолута,2
куолуту,2
куолутугар,1
куолутунан,15
куолуулаан,1
куолуһунуун,1
куолуһут,1
куомай,4
куомуннаахтыы,1
куомуннаһыыга,2
куонаан,1
куонай,4
куонамка,4
куондардаах,1
куонкрустары,1
куонкуркус,1
куонкуркустарга,1
куонкурса,1
куонкурсугар,10
куонкурсун,9
куонкуругар,1
куонкурус,186
куонкуруска,84
куонкуруста,1
куонкурустар,18
куонкурустара,11
куонкурустарбытыгар,1
куонкурустарга,21
куонкурустары,8
куонкурустарыгар,10
куонкурустарын,14
куонкурустуур,1
куонкуруһа,10
куонкуруһар,1
куонкуруһу,15
куонкуруһугар,32
куонкуруһун,23
куонкуруһунан,5
куонкуруһуттан,1
куонньай,4
куону,16
куонукрус,1
куоппат,1
куоппатах,2
куоппатын,1
куоппаһынан,4
куоппуйаларын,1
куоппуйата,2
куоппуйатын,1
куоппуппут,2
куоппут,25
куоппута,7
куоппуттар,4
куоппуттара,6
куоппутун,1
куоппутуттан,4
куоппутуҥ,4
куопуйаларын,1
куопуйатын,1
куор,35
куора,1
куорааннаах,1
куорай,8
куорак,2
куорака,1
куоракка,660
куорамыкы,1
куораппар,1
куораппын,2
куораппыт,5
куораппытыгар,2
куорар,1
куорат,1237
куората,242
куоратарга,1
куоратка,29
куоратта,1
куораттаары,1
куораттаатым,1
куораттаах,2
куораттааҕы,14
куораттан,72
куораттар,34
куораттара,23
куораттарга,56
куораттардаах,2
куораттардыын,1
куораттартан,7
куораттары,11
куораттарыгар,29
куораттарын,12
куораттарынан,3
куораттарыттан,23
куораттыам,1
куораттыгар,1
куораттын,1
куораттыы,4
куораты,38
куоратыгар,138
куоратын,41
куоратынааҕы,1
куоратынан,4
куоратыттан,13
куормалаах,1
куорпус,8
куорпуска,3
куорпустар,1
куорпустара,4
куорпустарга,2
куорпустарын,2
куорпуһа,7
куорпуһугар,4
куорпуһун,4
куорпүһа,1
куорсун,16
куорсуна,2
куорсуннаах,7
куорсуннардаах,2
куорсунун,2
куорсунунан,2
куорсунуттан,1
куорта,1
куортам,5
куортамнаан,3
куортамнааччы,1
куортамнаммыт,1
куортамнарын,1
куортамнаһааччы,1
куортамнаһар,1
куортамныахха,1
куортамныыр,1
куортамныырга,1
куортамын,1
куортамҥа,4
куортан,2
куортугунан,1
куортын,1
куору,4
куорунан,18
куорҕаллаабыт,1
куорҕаллаабытын,1
куорҕаллаан,1
куорҕаллыы,1
куорҕаллыыр,1
куос,2
куоска,14
куоскабын,1
куоскалар,5
куоскалара,2
куоскаларыттан,2
куосканы,2
куоската,1
куоскатыҥылар,3
куот,1
куота,35
куотаары,1
куотааһын,3
куоталаспакка,2
куоталаһаллар,1
куоталаһыахтара,1
куоталаһыахха,1
куоталаһыы,1
куоталлар,3
куотан,35
куотар,24
куотарга,3
куотардыы,2
куотарыныы,2
куотта,7
куоттан,2
куоттараары,3
куоттаран,3
куоттарар,1
куоттарбакка,3
куоттарбатах,1
куоттарбыт,1
куоттарбыттарын,1
куоттарбытым,2
куоттары,1
куоттарыллыбыт,1
куоттарымаҥ,1
куоттахтара,4
куоттаҕа,3
куоттаҕына,2
куоттуҥ,2
куотуммуттара,1
куотуна,1
куотунабын,1
куотуналлар,1
куотунар,1
куотунаҕын,2
куотуо,4
куотуом,1
куотуохтарыгар,1
куотуоҥ,2
куотуспуттуу,8
куотуу,2
куотуҥ,3
куох,2
куохалаһа,1
куохара,2
куохтуйа,6
куочай,4
куочайга,1
куочайдара,2
куоҕа,4
куоҕал,1
куоҕалы,2
куоҕас,25
куоҕастаах,1
куоҕастар,5
куоҕастыы,4
куоҕастыҥылар,1
куоҕаҥныы,1
куоҥ,18
куоҥа,2
куоҥкурсун,1
куоҥкурус,1
куоҥкуруска,1
куоҥкурустарга,4
куоҥкурустарын,1
куоҥкуруһун,1
куоһаан,2
куоһаммыт,4
куоһан,4
куоһанан,8
куоһаран,6
куоһарар,10
куоһарара,1
куоһарарга,1
куоһарбата,2
куоһарбатаҕа,1
куоһарбатылар,2
куоһарбыт,4
куоһарбытын,1
куоһарда,7
куоһарыа,3
куоһарыахтаах,1
куоһарыллыбыт,1
куоһарыыта,2
куоһарыытын,1
куоһур,1
куп,4
купа,1
купался,1
купальниктаах,1
купелаах,3
купель,1
купите,2
купить,1
куплеттаах,1
купол,5
куполлаах,4
куполы,1
купон,1
купоннаах,2
купонунан,1
купоны,1
куппар,1
куппун,2
куппут,10
куппуттар,2
куппуттара,8
куппуттуу,1
куппутун,1
куприянов,15
куприяновгорнай,1
купуону,1
купчуугуттан,4
купчууктаах,4
кур,20
кура,1
кураайы,3
кураан,15
кураанах,81
кураанахсыйан,2
кураанахсыйбыт,4
кураанахтааҕы,1
кураанахтан,1
кураанахтанаары,1
кураанахтанна,2
кураанахха,3
кураанаҕы,8
кураанаҕынан,2
курааны,1
кураатар,1
кураатара,3
кураатардара,1
кураатардарга,1
кураатарынан,1
кураах,1
кураахтаах,28
курааҥҥа,5
курадыҥы,1
курайш,1
куракан,1
куракка,1
куралай,1
куран,1
куранда,1
курас,4
курасао,1
куратор,4
куратора,3
куратору,1
кураторы,2
курахаллыҥылар,1
курашов,7
курашова,6
кураҕадыйбыт,4
кураҕаччы,2
кураҕаччылар,1
кураһан,1
курбан,1
курбановы,1
курбат,1
курбскай,1
курбуу,3
курбуулаатаҕына,1
курбуһах,18
курбуһахтан,4
курбуһахха,3
курбуһаҕар,1
курбуһаҕы,4
курбуһаҕын,2
курбуһаҕыттан,1
курга,2
кургаан,1
курган,2
курганы,1
курда,2
курдаан,8
курдаах,20
курдаахтар,1
курдаммыт,1
курданан,1
курданар,3
курданардыы,1
курданарыгар,2
курдаран,1
курдары,12
курдарыгар,5
курдат,6
курдаттаан,8
курдаттыы,10
курдиани,1
курдигино,1
курдуга,33
курдугу,6
курдугун,5
курдугунан,5
курдук,2549
курдукка,1
курдуккун,2
курдуккут,2
курдуккүүстээх,2
курдукпун,16
курдукпут,1
курдуктаах,4
курдуктар,22
курдуктара,6
курдуктары,1
курдукхарааччы,1
курдукхараххынан,1
курдукчоҕулуччу,2
курдурҕаччы,2
курдуу,1
курдуулаах,5
курессааре,1
курил,5
курилов,8
курилова,1
куриловтар,2
курилылара,1
курильскай,1
куриные,1
куриный,1
курирующий,1
курнатовксай,1
курнатовскай,16
курнатовского,3
курнева,1
курокан,1
куропатка,1
куропаточья,1
курорт,10
курорта,1
курортнай,3
курортном,1
курортных,1
курочкин,1
курошов,1
курпешко,1
куррикум,1
курс,2
курса,2
курсаана,1
курсана,1
курсаннарга,1
курсах,2
курсе,1
курскай,6
курскайга,1
курской,1
курсов,1
курстарга,1
курстары,1
курстарыгар,2
курстарьнар,1
курсттара,1
курсугар,2
курсун,1
курсуттан,1
курсы,1
куртах,8
куртахатар,1
куртахтаах,1
куртахтан,1
куртахха,5
куртаҕар,1
куртаҕы,1
куртаҕын,2
куртенэ,1
куртканы,1
куртуйах,4
куртуйахкуртуйах,1
куртуйаҕынан,1
куртц,1
куру,15
курув,2
курувка,1
куругар,1
курудк,1
курудук,1
куруйа,1
куруламмыт,6
курулас,1
курулатан,2
курулатары,4
курулаччы,1
курулунан,4
курум,1
курума,4
куруму,1
курун,8
курунан,1
куруолугу,1
куруолук,1
куруолуктаахпыт,2
куруолуктарбар,1
куруолуктарбын,1
куруолуктары,5
куруолуктарым,1
куруорда,2
куруорка,1
курупааскыга,1
курупааскыны,1
куруппа,1
куруппааскы,2
куруппааскыта,1
куруппаҕа,1
курус,27
куруска,1
курустаала,1
курустаалын,1
курустук,1
курутуйа,1
курутуйабыт,1
курутуйуу,1
куруубай,2
куруубайдааҥҥын,1
куруубайдык,3
куруук,75
куруукка,1
курууксахалар,1
курууктары,1
куруум,1
куруус,4
куруускалаах,1
куруусканы,1
куруустар,3
куруутун,158
курууһа,1
курууһу,1
куруҥ,11
куруҥар,4
куруҥах,2
куруһуога,3
куруһуогар,18
куруһуогу,4
куруһуогум,2
куруһуогун,5
куруһуок,16
куруһуокка,9
куруһуоктар,6
куруһуоктара,5
куруһуоктарга,6
куруһуоктардаах,2
куруһуоктары,1
куруһуоктарыгар,4
куруһуоктарын,2
курчатова,2
курчатованы,1
курченко,2
курыкан,3
курыканнар,6
курынкан,1
курьер,1
курьера,1
курьердар,1
курья,2
курэкэн,1
курэх,2
курэхтэргэ,1
курэхтэһии,2
курэхтэһиигэ,2
курэхтэһэ,2
курээри,1
кус,118
кусайко,1
кусатов,1
кусаҕаннык,1
куска,5
кустаан,2
кустаах,4
кустар,7
кустарбыт,1
кустарга,1
кустарное,1
кустары,8
кустарын,1
кустугун,2
кустугунан,1
кустук,52
кустуктуров,2
кустуктуурап,3
кустуу,5
кустуулларын,1
кустуур,5
кустууругар,1
кустуҥулар,9
кусчут,2
кусчуттар,2
кут,47
кута,52
кутаа,26
кутаалаах,4
кутааны,2
кутааһын,2
кутабыт,6
кутала,1
куталаах,5
куталлар,9
кутан,41
кутана,14
кутанатыгар,2
кутанаҕа,2
кутаннар,2
кутар,23
кутара,1
кутарга,7
кутардаах,1
кутатыҥы,1
кутаҕа,1
кутон,1
куторалар,3
кутпун,1
кутта,2
куттаабыт,2
куттаабытын,2
куттаама,2
куттаан,6
куттаары,2
куттаат,1
куттаах,17
куттаахтар,3
куттааҕыҥ,1
куттааһын,3
куттал,224
куттала,144
кутталаах,2
кутталбын,1
кутталбыт,1
кутталбыттан,1
кутталга,6
кутталгыттан,1
кутталлаах,64
кутталлаахтарын,1
кутталлааҕый,2
кутталлааҕын,4
кутталлааҕынан,1
кутталлам,2
кутталламмыт,1
кутталламмытыгар,2
кутталланан,3
кутталлар,1
кутталлара,7
кутталларга,1
кутталларыттан,1
кутталллаах,1
кутталлы,1
кутталтан,1
кутталы,43
кутталым,2
кутталын,6
кутталынан,1
кутталыттан,6
куттаммакка,13
куттаммаккын,5
куттаммаппын,7
куттаммат,10
куттамматын,1
куттаммыт,18
куттаммыта,4
куттаммыттар,4
куттаммыттара,4
куттаммыттык,4
куттаммыттыы,9
куттаммытым,2
куттаммытын,1
куттамсах,1
куттан,5
куттана,13
куттанабын,8
куттанабыт,1
куттаналарын,1
куттаналлар,4
куттаналлара,6
куттаналларын,4
куттанаммын,2
куттанан,61
куттананнар,1
куттанар,22
куттанара,10
куттанарым,1
куттанаҕын,1
куттанна,6
куттаннарбын,1
куттаннахтара,1
куттаннаҕа,4
куттанныбыт,4
куттанным,1
куттанныҥ,3
куттаныа,6
куттаныам,2
куттаныах,1
куттаныахтааҕар,1
куттаныаххыный,1
куттаныаҕа,1
куттаныма,16
куттанымаҥ,1
куттаныы,1
куттара,20
куттараннар,4
куттарбыт,2
куттарын,6
куттас,3
куттаталыыбын,2
куттаталыыра,2
куттахтара,1
куттахха,1
куттаҕар,1
куттаҕаскыт,2
куттаҕаһа,1
куттаһа,1
куттубут,1
куттулар,4
куттуу,2
куттууллар,1
куттууллара,1
куттуулларын,2
куттуур,7
куту,3
кутугунатан,1
кутугуругун,1
кутугутова,1
кутузов,1
кутуйаланан,1
кутуйах,52
кутуйахатары,1
кутуйахсыт,2
кутуйахтар,6
кутуйахтары,2
кутуйахтарынан,1
кутуйахтыҥылар,4
кутуйаҕы,2
кутуйбуттар,1
кутуллан,8
кутуллар,5
кутуллара,5
кутуллубут,16
кутуллубута,3
кутуллуллубатах,1
кутуллуо,1
кутуллуохтаах,1
кутуллуоҕа,1
кутулунна,5
кутум,9
кутумаҥ,1
кутун,73
кутуохха,2
кутур,2
кутуран,24
кутурар,2
кутурга,1
кутургуйа,1
кутуруга,25
кутуругар,3
кутуругун,8
кутуругунан,1
кутуругуттан,2
кутурук,14
кутурукаах,1
кутурукка,1
кутуруксутунан,1
кутуруктаах,15
кутуруктаахтартан,1
кутуруктанар,1
кутуруктара,5
кутуруктарынан,8
кутуруктарыттан,1
кутуруктуун,1
кутуруута,6
кутуруутун,2
кутурҕаммын,1
кутурҕаммытын,1
кутурҕан,16
кутурҕана,1
кутурҕаннаах,5
кутурҕантан,4
кутурҕанын,4
кутуталаан,9
кутуталаата,1
кутуу,22
кутуҥ,5
кутяков,1
куу,1
кууб,3
кууба,2
куубагар,1
куубагын,8
куубак,1
куубу,1
куубунан,2
куугунуу,4
куудараас,2
куударатын,2
куукалкалары,1
куукула,10
куукулабар,2
куукулалаах,1
куукулалар,3
куукулалары,2
куукулаларын,1
куукулаларынан,2
куукулата,1
куукулатын,1
куукуна,2
куукуналаах,2
куукуната,1
куукунаттан,1
куукунатын,1
куукунаҕа,5
куул,4
куула,10
кууланы,1
куулаҕа,4
куулга,2
кууллаах,2
куултан,1
куулу,2
куулунан,1
куумнатыгар,1
кууп,2
куупал,1
куупала,1
куупаллаах,2
кууполлары,1
куура,1
куураллар,1
кууран,7
куурарын,1
куурбахтыы,2
куурбут,4
куурда,7
куурдаллара,1
куурдан,3
куурдар,3
куурдаҕына,5
куурдуммат,1
кууркалаах,1
куурканы,1
кууркатын,2
куурска,2
куурсу,1
куурсугар,5
куурсун,9
кууртка,1
куурукса,1
куурумса,1
куурупса,1
куурус,25
кууруска,8
куурусса,12
кууруссалар,1
кууруссалара,1
кууруссалары,1
кууруссаларын,1
кууруссаны,5
куурустан,2
куурустар,8
куурустарга,7
куурустары,8
куурустарыгар,4
куурустарын,16
кууруһа,2
кууруһу,3
кууруһугар,5
кууруһун,18
куус,1
куускай,1
куускэ,3
кууспатаҕа,1
кууспаҕалаан,4
кууспаҕалаһыы,4
кууспут,6
кууспута,15
кууста,1
куустан,5
куустаран,5
куустараҕын,1
куустубут,2
куустуспуттара,4
куустуһа,1
куустуһан,5
куустуһуттан,1
куустээх,2
куутуллубэтэх,1
куухуна,1
куухунаҕа,1
куучалаһан,1
кууһа,8
кууһан,44
кууһар,3
кууһара,5
кууһунан,5
кууһуннаран,1
кууһуннарар,1
кууһуннарбыта,4
кууһунэн,1
кууһуутугар,4
кууһуутуттан,2
кухне,5
кухня,1
куццэ,1
кучара,2
кучараҕа,1
кучах,1
кученко,1
кучеров,1
кучлук,1
кучу,3
кушайте,1
кушан,1
кушать,3
кушенейко,1
кушеткабар,1
кушеткам,1
кушеткатыгар,1
кушеткаҕа,2
кушлауч,1
кушнарева,2
кушнерев,1
кушнеров,1
куэнга,1
куэста,1
куҥ,6
куҥа,2
куҥнаах,4
куһаадай,2
куһаҕа,1
куһаҕаммытын,1
куһаҕан,110
куһаҕана,16
куһаҕаннаах,1
куһаҕаннааҕый,2
куһаҕаннааҕын,1
куһаҕаннара,1
куһаҕаннык,17
куһаҕантан,5
куһаҕаны,43
куһаҕанын,5
куһаҕаныттан,2
куһаҕаттар,1
куһаҕаҥҥа,2
куһу,11
куһуйан,8
куһун,1
куһунан,1
куһуок,1
куһурҕаппыттара,2
куһууран,1
куһуурбута,4
куөллэр,1
куөмчүлэниэ,1
куөхтүҥү,1
куөҕэ,2
кфен,1
кхароштхи,1
кшиштоф,2
къарачай,1
къэрэшей,1
кыа,107
кыабака,2
кыабакатын,2
кыадаҥдалары,1
кыадаҥдатыгар,1
кыадаҥдаҕа,2
кыадаҥнаҕа,1
кыай,2
кыайа,12
кыайаары,1
кыайабын,1
кыайабыт,2
кыайаллар,5
кыайалларынан,3
кыайан,235
кыайаннар,5
кыайар,18
кыайара,2
кыайарга,2
кыайаргар,2
кыайарда,1
кыайардыы,1
кыайардыын,1
кыайарын,6
кыайарынан,1
кыайарыҥ,4
кыайбакка,3
кыайбаккын,1
кыайбаппын,5
кыайбат,21
кыайбата,4
кыайбатарбын,1
кыайбатах,1
кыайбатаххына,1
кыайбатаҕа,2
кыайбатаҕар,1
кыайбатаҕы,1
кыайбаттыын,1
кыайбатын,2
кыайбыккын,2
кыайбыппыттан,1
кыайбыппытын,1
кыайбыт,64
кыайбыта,26
кыайбыттар,12
кыайбыттара,7
кыайбыттары,1
кыайбыттарын,4
кыайбыты,1
кыайбытыгар,1
кыайбытым,3
кыайбытын,7
кыайда,72
кыайдарбын,1
кыайдахатрына,1
кыайдахпытына,2
кыайдахтара,2
кыайдаххына,1
кыайдаҕына,6
кыайды,1
кыайдыбыт,2
кыайдылар,13
кыайдым,2
кыайдыннар,1
кыайталаабыта,2
кыайталаан,1
кыайталааччым,2
кыайталыам,1
кыайталыыра,2
кыайтара,1
кыайтараары,1
кыайтаран,14
кыайтарар,2
кыайтарбакка,1
кыайтарбат,11
кыайтарбыппын,1
кыайтарбыт,7
кыайтарбыттара,1
кыайтарбытын,2
кыайтарда,4
кыайтарыа,1
кыайтарыыны,4
кыайыа,3
кыайыай,1
кыайыам,7
кыайыар,1
кыайыах,5
кыайыахпыт,11
кыайыахпытын,1
кыайыахтаах,4
кыайыахтаахпын,4
кыайыахтааҕа,2
кыайыахтара,1
кыайыаҥ,5
кыайыгас,2
кыайылааҕа,2
кыайыллыбатаҕы,1
кыайыы,345
кыайыыбар,1
кыайыыбын,2
кыайыыбыт,2
кыайыыбытын,1
кыайыыга,25
кыайыыгын,1
кыайыыгытынан,1
кыайыылаах,55
кыайыылаахтар,33
кыайыылаахтара,25
кыайыылаахтарга,5
кыайыылаахтары,14
кыайыылаахтарыгар,5
кыайыылаахтарын,10
кыайыылаахтарынан,14
кыайыылаахтарыттан,2
кыайыылаахха,2
кыайыылааҕа,72
кыайыылааҕар,2
кыайыылааҕы,8
кыайыылааҕын,6
кыайыылааҕынан,48
кыайыылааҕынана,1
кыайыылааҥа,1
кыайыыланна,1
кыайыылар,1
кыайыылара,2
кыайыылардаахпын,1
кыайыылары,1
кыайыыларын,2
кыайыыларынан,4
кыайыыларыҥ,2
кыайыылахатарын,1
кыайыылахтара,3
кыайыым,6
кыайыын,1
кыайыынан,2
кыайыыны,50
кыайыыта,5
кыайыытыгар,3
кыайыытын,15
кыайыытынан,2
кыаларын,1
кыаллан,2
кыаллар,8
кыаллара,4
кыаллары,1
кыалларыгар,2
кыалларынан,24
кыаллыа,4
кыаллыан,2
кыаллыбат,23
кыаллыбата,3
кыаллыбатах,2
кыаллыбатаҕа,2
кыаллыбатын,1
кыаллымаары,2
кыалыгыйар,2
кыалымтыа,1
кыалынна,2
кыама,6
кыаматалаах,1
кыаматалаахтарга,1
кыаммакка,1
кыаммат,35
кыамматтарга,2
кыамматтары,1
кыамматтарыгар,1
кыамматы,1
кыаммыттара,4
кыамта,1
кыамталаах,35
кыамталаахтык,1
кыамталар,1
кыамтаны,2
кыамтарынан,1
кыамтата,2
кыамтатын,1
кыана,3
кыанабын,1
кыанан,4
кыанар,4
кыараабыкка,4
кыараабыта,4
кыараан,9
кыаратар,1
кыараҕас,39
кыараҕаска,1
кыараҕастар,1
кыараҕастык,1
кыатаах,1
кыатана,3
кыатанан,4
кыатарда,1
кыаттаран,1
кыаттарбатах,1
кыаттарбыты,1
кыаттарыыта,1
кыах,135
кыаханалларын,1
кыахатынахтара,1
кыахпынан,4
кыахпыт,13
кыахпытыгар,1
кыахпытын,1
кыахта,1
кыахтаах,142
кыахтаахпын,1
кыахтаахпыт,8
кыахтаахпытый,1
кыахтаахта,1
кыахтаахтар,30
кыахтаахтара,2
кыахтаахтарын,1
кыахтаахтарынан,1
кыахтаахтык,1
кыахтаахха,2
кыахтааххын,4
кыахтааҕа,1
кыахтааҕын,8
кыахтаммыппар,1
кыахтаммыта,7
кыахтаммытара,1
кыахтаммыттара,4
кыахтанабыт,5
кыахтаналлара,1
кыахтаналларын,1
кыахтанар,10
кыахтанара,1
кыахтанарыгар,1
кыахтанарын,2
кыахтанаҕын,2
кыахтанна,11
кыахтаннаҕына,1
кыахтанныахтара,1
кыахтанныбыт,7
кыахтаннылар,24
кыахтанным,3
кыахтаныа,3
кыахтаныахпыт,4
кыахтаныахтаах,1
кыахтаныахтара,26
кыахтаныаҕа,8
кыахтар,3
кыахтара,25
кыахтарара,1
кыахтары,2
кыахтарыгар,5
кыахтарын,31
кыахтарынан,2
кыахтарысымаан,1
кыахтарыттан,2
кыахха,2
кыаххын,2
кыаххынан,1
кыаххыттан,2
кыаҕа,101
кыаҕар,1
кыаҕы,30
кыаҕым,9
кыаҕын,43
кыаҕынан,6
кыаҕыран,1
кыаҕырар,1
кыаҕыҥ,3
кыаһа,4
кыаһаан,3
кыаһаана,4
кыаһаанын,9
кыаһааныттан,1
кыаһыламмыт,1
кыбаартаалларга,1
кыбаартал,12
кыбаартала,3
кыбаарталга,8
кыбаарталлар,5
кыбаарталлара,1
кыбаарталларга,2
кыбаарталлары,2
кыбаарталы,2
кыбаарталыгар,25
кыбаарталын,8
кыбаартыллааҕы,1
кыбадыраатынай,11
кыбадыратынай,1
кыбартаалыгар,1
кыбартаалынай,1
кыбартыыра,56
кыбартыыраалаах,1
кыбартыырабытын,1
кыбартыыралаах,80
кыбартыыралаахтар,1
кыбартыыралаахтара,1
кыбартыыраланнылар,1
кыбартыыралар,6
кыбартыыраларга,2
кыбартыыралардаах,1
кыбартыыралары,3
кыбартыыраларыгар,1
кыбартыыраларын,3
кыбартыыраны,6
кыбартыыраттан,2
кыбартыыратыгар,1
кыбартыыратын,3
кыбартыыратыттан,1
кыбартыыраҕа,6
кыбартыырлаах,1
кыбарытыыралаах,1
кыбдьыгырыы,2
кыбыас,2
кыбыйан,2
кыбылла,2
кыбыллан,2
кыбыллаҥҥын,1
кыбыллыбыт,4
кыбыллыбытын,1
кыбыллыбытынан,2
кыбыллын,1
кыбыллыыта,1
кыбыммыт,6
кыбыммытынан,5
кыбынан,4
кыбынна,1
кыбыппыт,1
кыбыппыттар,1
кыбыс,1
кыбыста,1
кыбыстабын,7
кыбыстан,21
кыбыстанньаҥ,1
кыбыстар,7
кыбыстарбын,1
кыбыстарга,1
кыбыстыбакка,2
кыбыстыбаппын,1
кыбыстыбат,5
кыбыстыбыппын,1
кыбыстыбыт,2
кыбыстыбыта,2
кыбыстыбыттыы,7
кыбыстыма,1
кыбыстымаҥ,2
кыбыстыыга,2
кыбыта,3
кыбыталлар,1
кыбытан,6
кыбытыгы,1
кыбытык,3
кыбытыкка,2
кыбытыллыбыт,4
кыбытыылаах,7
кыбычыын,2
кыбыы,4
кыбыыга,1
кыбыылаах,8
кыбыыларга,2
кыбыынан,4
кыбыһынна,2
кыбыһыннаран,2
кыбыһыннарар,4
кыбыһыннарбын,1
кыбьтстан,4
кыдаана,1
кыдай,4
кыдамаһыттар,1
кыдана,2
кыдань,1
кыдыйсан,2
кыдыйсыы,1
кыдыйсыыларга,1
кыдьыга,2
кыдьыгы,1
кыдьыгырбыт,2
кыдьыкка,4
кыдьымах,6
кыдьымаҕа,4
кыдьымаҕын,2
кызласов,1
кызыл,1
кый,6
кыйа,4
кыйаар,1
кыйабыттары,1
кыйан,1
кыйахаммыт,3
кыйахаммытыгар,1
кыйахана,1
кыйаханабын,1
кыйаханан,7
кыйаханар,5
кыйаханна,1
кыйаханыы,1
кыйаыы,2
кыйдаа,4
кыйдаабыта,2
кыйдаан,7
кыйдаары,4
кыйдаата,1
кыйдаммыта,1
кыйдаммыттар,1
кыйдан,2
кыйданар,2
кыйдаппыта,4
кыйдаталлар,2
кыйдатар,2
кыйдыа,2
кыйдыыллара,1
кыйма,1
кыйманнатар,1
кыймаҥнаата,1
кыйы,10
кыйыаҕынан,1
кыйыттан,4
кыйыттыбыт,1
кыйыы,3
кыккыраччы,1
кыл,24
кыла,1
кылаа,6
кылаабынай,61
кылаабынайа,13
кылаайы,4
кылааккытынын,1
кылаам,1
кылаан,20
кылаана,4
кылааннаах,10
кылаанын,1
кылааныттан,1
кылаапаннар,1
кылааппын,4
кылааппытын,1
кылаас,485
кылааска,114
кылааскыный,1
кылааскыт,2
кылааскытын,2
кылааспыт,18
кылааспытыгар,7
кылааспытын,3
кылааспытыттан,1
кылаасстар,1
кылаастаах,79
кылаастааҕы,1
кылаастан,57
кылаастар,61
кылаастара,13
кылаастарга,48
кылаастардаах,3
кылаастартан,1
кылаастары,27
кылаастарыгар,6
кылаастарын,6
кылаастарынан,2
кылаат,2
кылаата,4
кылааттаах,1
кылааттааччылара,1
кылааттарын,25
кылааты,10
кылаатын,38
кылааьын,1
кылааһа,15
кылааһы,38
кылааһыгар,19
кылааһым,10
кылааһын,111
кылааһынан,21
кылааһынньыгым,1
кылааһынньыктара,1
кылааһыска,1
кылааһыҥ,1
кылабачыйар,2
кылабынай,1
кылабысов,2
кылабыыһаларыгар,1
кылабыыһанан,1
кылабыыһатыгар,3
кылабыыһаҕа,4
кылагаһынан,1
кылам,1
кыламана,1
кыламаннарыгар,1
кыламаннарынан,1
кыламаны,1
кыламмытынан,4
кыламнатан,1
кылана,8
кылап,2
кылапаччыйар,1
кылапачытан,1
